mythology,act,key,hp,speed,pattern_len,damage_types,max_atk,buff_str,buff_blk,debuff_weak,debuff_vul,debuff_poison,has_all,has_special,has_prepare,signatures_enabled,has_phases,phase_count,has_card_trigger,charm_resistance,pattern_summary
greek,1,hydra,4500,0,3,poison,180,0,0,0,0,0,Y,N,N,Y,Y,3,N,20,A180/poison->A180/poison->A140/poison
greek,2,hades,4800,0,3,curse,150,0,0,2,0,0,Y,N,N,Y,Y,3,N,20,A150/curse->D:weak+2->A150/curse
greek,3,kronos,5200,0,4,holy_strike|holy_fire,160,0,0,2,0,0,Y,N,N,Y,Y,3,Y,20,A160/holy_strike->D:weak+2->A160/holy_strike->A140/holy_fire
egyptian,1,sekhmet,4500,0,3,blunt,160,0,0,0,0,0,Y,N,N,Y,Y,3,N,20,A160/blunt->A160/blunt->A120/blunt
egyptian,2,osiris,3000,0,5,holy_strike|holy_fire,220,1,0,0,2,0,Y,N,N,Y,Y,2,N,20,A180/holy_strike->A180/holy_strike->B:strength+1->D:vulnerable+2->A220/holy_fire
egyptian,3,ra_horakhty,5000,0,4,holy_strike|fire,150,0,0,2,0,0,Y,N,N,Y,Y,3,N,20,A150/holy_strike->D:weak+2->A150/holy_strike->A130/fire
norse,1,fjorgynn,4500,0,3,holy_blunt,150,0,40,0,0,0,N,N,N,Y,Y,3,N,20,A150/holy_blunt->B:block+40->A150/holy_blunt
norse,2,surtr,4800,0,3,fire,170,0,0,0,0,0,Y,N,N,Y,Y,3,N,20,A170/fire->A170/fire->A140/fire
norse,3,jormungandr,5000,0,3,poison,130,0,0,0,0,5,Y,N,N,Y,Y,3,N,20,A130/poison->D:poison+5->A130/poison
buddhist,1,mahavairocana,4500,0,4,holy_strike|holy_fire,150,1,40,0,0,0,Y,N,N,Y,Y,3,N,20,A150/holy_strike->B:strength+1->B:block+40->A130/holy_fire
buddhist,2,guanyin,4800,0,4,holy_arrow,140,0,40,2,0,3,Y,N,N,Y,Y,3,N,20,D:weak+2->A140/holy_arrow->B:block+40->D:poison+3
buddhist,3,acalanatha,4800,0,6,holy_arrow|holy_fire,180,2,50,3,2,0,Y,N,N,Y,Y,3,N,20,A180/holy_arrow->D:vulnerable+2->D:weak+3->A160/holy_fire->B:strength+2->B:block+50
daoist,1,eastern_king,4500,0,4,blunt,160,2,0,0,0,0,Y,N,N,Y,Y,3,N,20,A160/blunt->B:strength+1->A130/blunt->B:strength+1
daoist,2,xuanwu,4800,0,4,holy_slash|holy_fire,170,1,40,0,0,0,Y,N,N,Y,Y,3,N,20,B:strength+1->B:block+40->A170/holy_slash->A140/holy_fire
daoist,3,jade_emperor,4800,0,5,holy_slash|holy_fire,190,1,50,0,2,0,Y,N,N,Y,Y,3,Y,20,B:block+50->B:strength+1->A190/holy_slash->A160/holy_fire->D:vulnerable+2
japanese,1,raijin,4500,0,4,lightning,150,1,0,0,2,0,Y,N,N,Y,Y,3,N,20,A150/lightning->B:strength+1->A130/lightning->D:vulnerable+2
japanese,2,shuten_doji,4800,0,4,blunt,160,1,0,2,0,0,Y,N,N,Y,Y,3,N,20,B:strength+1->A160/blunt->D:weak+2->A140/blunt
japanese,3,yamata_no_orochi,4800,0,5,poison|fire,150,1,0,2,0,0,Y,N,N,Y,Y,3,N,20,A150/poison->A150/poison->D:weak+2->A140/fire->B:strength+1
