mythology,enc_idx,difficulty_label,monster_count,total_hp,cycle_damage,attack_count,t1_count,t2t3_count,death_rattle,sigs_enabled,risk_score,monsters,mechanisms
greek,0,매우약함,1,220,110,2,0,0,0,1 disabled,1,fly_harpy,-
greek,1,약함,2,500,420,6,0,0,0,2 disabled,7,myrmidon|myrmidon,-
greek,2,약함,1,350,160,2,0,0,0,1 disabled,3,satyr,-
greek,3,보통,2,590,220,3,0,0,0,all,9,snake|lamia,-
greek,4,보통,3,840,525,6,0,0,0,all,18,harpy|harpy|harpy,-
greek,5,다소강함,3,870,505,5,1,0,0,all,23,stymphalian_bird|giant_ant|dryad,PHASE_TRIGGER
greek,6,강함,3,1180,960,8,3,0,0,all,45,centaur|centaur|ares_soldier,PHASE_TRIGGER
greek,7,강함,4,1240,490,7,1,2,1,all,46,griffin_cub|medusid|fire_crab|stone_shard,BUFF_ALLY|DEATH_RATTLE|PHASE_TRIGGER
greek,8,매우강함,3,1650,930,5,1,0,1,all,43,cyclops|chimera_cub|hydra_head,PHASE_TRIGGER|DEATH_RATTLE
greek,9,최강,2,1400,860,8,1,1,0,all,44,cerberus|tartaros_shade,PHASE_TRIGGER|COUNTER_PREPARE
norse,0,매우약함,1,300,180,3,0,0,0,1 disabled,3,urdr_spider,-
norse,1,약함,2,640,220,2,0,0,0,2 disabled,4,volva_witch|volva_witch,-
norse,2,약함,1,340,170,2,0,0,0,1 disabled,3,garlarr_snake,-
norse,3,보통,2,730,410,5,0,0,0,all,15,hrimfaxi_rider|ice_wolf,-
norse,4,보통,3,840,480,6,0,0,0,all,17,raven_scout|raven_scout|raven_scout,-
norse,5,다소강함,3,885,435,6,1,0,0,all,21,frost_wight|bone_archer|dark_elf,PHASE_TRIGGER
norse,6,강함,3,1290,600,6,3,0,0,all,39,draugr|draugr|berserker,PHASE_TRIGGER
norse,7,강함,4,1250,385,5,0,2,1,all,39,runestone_golem|night_hag|lindworm_spawn|einherjar_ghost,BUFF_ALLY|DEATH_RATTLE|HEAL_ALLY
norse,8,매우강함,3,1450,900,6,1,1,0,all,45,jotun_soldier|garmr|nidhogg_scale,BUFF_ALLY|PHASE_TRIGGER
norse,9,최강,2,1350,980,5,0,2,0,all,48,frost_giant|ragnarok_herald,SUMMON|MARK_TARGET
egyptian,0,매우약함,1,320,110,2,0,0,0,1 disabled,2,ka_spirit,-
egyptian,1,약함,2,520,230,4,0,0,0,2 disabled,3,scarab|scarab,-
egyptian,2,약함,1,350,240,3,0,0,0,1 disabled,4,sphinx_cub,-
egyptian,3,보통,2,730,320,4,1,0,1,all,22,desert_scorpion|sand_wraith,DEATH_RATTLE|PHASE_TRIGGER
egyptian,4,보통,3,840,450,6,0,0,0,all,17,sand_rat|sand_rat|sand_rat,-
egyptian,5,다소강함,3,1070,510,6,1,1,0,all,33,anubis_guard|sand_scout|nile_crocodile,BUFF_ALLY|PHASE_TRIGGER
egyptian,6,강함,3,1210,560,3,0,2,0,all,39,clay_soldier|clay_soldier|sand_ifrit,BUFF_ALLY
egyptian,7,강함,4,1230,475,7,0,2,2,all,45,tomb_wraith|khopesh_warrior|jackal_priest|desert_ghoul,DEATH_RATTLE|BUFF_ALLY|HEAL_ALLY
egyptian,8,매우강함,3,1450,880,6,2,0,0,all,41,mummy_warrior|sobek_spawn|ammit_cub,PHASE_TRIGGER
egyptian,9,최강,2,1400,1050,6,1,1,0,all,48,sphinx_adult|pyramid_golem,PHASE_TRIGGER|BUFF_ALLY
buddhist,0,매우약함,1,280,180,1,0,0,0,1 disabled,2,garuda,-
buddhist,1,약함,2,640,320,4,0,0,0,2 disabled,6,yaksha|yaksha,-
buddhist,2,약함,1,350,140,2,0,0,0,1 disabled,2,pishacha,-
buddhist,3,보통,2,570,180,3,0,1,1,all,20,dharma_puppet|lotus_spirit,DEATH_RATTLE|HEAL_ALLY
buddhist,4,보통,3,840,360,6,3,0,0,all,30,hungry_ghost|hungry_ghost|hungry_ghost,PHASE_TRIGGER
buddhist,5,다소강함,3,970,370,5,2,0,1,all,30,asura|naga_spawn|rakshasa,PHASE_TRIGGER|DEATH_RATTLE
buddhist,6,강함,3,1270,530,5,0,2,1,all,42,virudhaka|virudhaka|karmic_fiend,BUFF_ALLY|DEATH_RATTLE
buddhist,7,강함,4,1210,575,8,1,2,0,all,44,sky_beast|earth_spirit|wrathful_spirit|cursed_monk,BUFF_ALLY|PHASE_TRIGGER
buddhist,8,매우강함,3,1330,625,6,1,2,0,all,46,vajrapani|deva_soldier|ashura_warrior,PHASE_TRIGGER|BUFF_ALLY|SACRIFICE
buddhist,9,최강,2,1370,980,5,0,2,0,all,48,mara_general|hell_guardian,SUMMON|COUNTER_PREPARE
daoist,0,매우약함,1,280,100,2,0,0,0,1 disabled,1,child_immortal,-
daoist,1,약함,2,600,240,2,0,0,0,2 disabled,4,dao_disciple|dao_disciple,-
daoist,2,약함,1,340,160,2,0,0,0,1 disabled,3,hermit_ghost,-
daoist,3,보통,2,700,410,4,2,0,0,all,25,mountain_spirit|thunder_messenger,PHASE_TRIGGER
daoist,4,보통,3,780,330,6,3,0,0,all,28,immortal_sprite|immortal_sprite|immortal_sprite,PHASE_TRIGGER
daoist,5,다소강함,3,900,350,5,1,1,1,all,33,cloud_beast|jade_puppet|river_spirit,PHASE_TRIGGER|DEATH_RATTLE|HEAL_ALLY
daoist,6,강함,3,1230,520,6,1,2,0,all,43,elder_hermit|elder_hermit|celestial_soldier,HEAL_ALLY|PHASE_TRIGGER
daoist,7,강함,4,1260,520,7,2,1,1,all,44,fire_salamander|iron_guard|wind_sprite|earth_dragon,PHASE_TRIGGER|BUFF_ALLY|DEATH_RATTLE
daoist,8,매우강함,3,1450,650,6,1,1,1,all,44,azure_guardian|celestial_lion|nine_tailed_spirit,BUFF_ALLY|PHASE_TRIGGER|DEATH_RATTLE
daoist,9,최강,2,1400,840,4,0,2,0,all,46,dragon_king_child|immortal_warrior,MARK_TARGET|SACRIFICE
japanese,0,매우약함,1,300,70,1,0,0,0,1 disabled,1,yuki_onna,-
japanese,1,약함,2,640,300,4,0,0,0,2 disabled,6,tengu|tengu,-
japanese,2,약함,1,350,240,3,0,0,0,1 disabled,4,shuten_minion,-
japanese,3,보통,2,670,315,4,1,0,0,all,17,kappa|foxfire,PHASE_TRIGGER
japanese,4,보통,3,780,345,6,3,0,0,all,28,koropokkuru|koropokkuru|koropokkuru,PHASE_TRIGGER
japanese,5,다소강함,3,850,295,5,1,1,2,all,34,yamabiko|ittan_momen|azuki_washer,MIMIC|DEATH_RATTLE|PHASE_TRIGGER
japanese,6,강함,3,1270,840,7,3,0,0,all,43,oni|oni|samurai_ghost,PHASE_TRIGGER
japanese,7,강함,4,1260,530,7,2,1,1,all,44,tennyo|hone_onna|cursed_scroll|tatami_monster,HEAL_ALLY|PHASE_TRIGGER|DEATH_RATTLE
japanese,8,매우강함,3,1370,890,7,2,1,0,all,48,ronin_ghost|yamabushi_ghost|dragon_serpent,PHASE_TRIGGER|BUFF_ALLY
japanese,9,최강,2,1380,920,4,0,2,0,all,47,gashadokuro|hannya,WARD
