mythology,enc_idx,result,turns_taken,hero_hp_remaining,total_enemy_hp,first_turn_dps,monsters
greek,0,WIN,1,3000,220,55,fly_harpy
greek,1,WIN,3,2976,500,104,myrmidon|myrmidon
greek,2,WIN,2,3000,350,80,satyr
greek,3,WIN,3,3000,590,70,snake|lamia
greek,4,WIN,4,2945,840,129,harpy|harpy|harpy
greek,5,WIN,4,2820,870,159,stymphalian_bird|giant_ant|dryad
greek,6,WIN,6,2466,1180,319,centaur|centaur|ares_soldier
greek,7,WIN,6,2863,1240,151,griffin_cub|medusid|fire_crab|stone_shard
greek,8,WIN,8,2198,1650,349,cyclops|chimera_cub|hydra_head
greek,9,WIN,7,2712,1400,163,cerberus|tartaros_shade
norse,0,WIN,2,3000,300,36,urdr_spider
norse,1,WIN,3,3000,640,72,volva_witch|volva_witch
norse,2,WIN,2,3000,340,56,garlarr_snake
norse,3,WIN,4,2918,730,136,hrimfaxi_rider|ice_wolf
norse,4,WIN,4,2895,840,159,raven_scout|raven_scout|raven_scout
norse,5,WIN,5,2932,885,132,frost_giant_pup|bone_archer|dark_elf
norse,6,WIN,6,2728,1290,200,draugr|draugr|berserker
norse,7,WIN,6,2902,1250,127,runestone_golem|night_hag|lindworm_spawn|einherjar_ghost
norse,8,WIN,7,2468,1450,245,jotun_soldier|fenrir_pup|nidhogg_scale
norse,9,WIN,7,2385,1350,245,frost_giant|ragnarok_herald
egyptian,0,WIN,2,3000,320,27,ka_spirit
egyptian,1,WIN,3,2966,520,114,scarab|scarab
egyptian,2,WIN,2,3000,350,60,sphinx_cub
egyptian,3,WIN,4,2948,730,95,desert_scorpion|sand_wraith
egyptian,4,WIN,4,2910,840,150,sand_rat|sand_rat|sand_rat
egyptian,5,WIN,5,2836,1070,156,anubis_guard|sand_scout|nile_crocodile
egyptian,6,WIN,6,2313,1210,251,clay_soldier|clay_soldier|sand_ifrit
egyptian,7,WIN,6,2789,1230,157,tomb_wraith|khopesh_warrior|jackal_priest|desert_ghoul
egyptian,8,WIN,7,2654,1450,271,mummy_warrior|sobek_spawn|ammit_cub
egyptian,9,WIN,7,2352,1400,232,sphinx_adult|pyramid_golem
buddhist,0,WIN,2,2990,280,90,garuda
buddhist,1,WIN,3,2974,640,106,yaksha|yaksha
buddhist,2,WIN,2,3000,350,35,mara_soldier
buddhist,3,WIN,3,3000,570,59,dharma_puppet|lotus_spirit
buddhist,4,WIN,4,2944,840,120,hungry_ghost|hungry_ghost|hungry_ghost
buddhist,5,WIN,5,2949,970,122,asura|naga_spawn|demon_soldier
buddhist,6,WIN,6,2850,1270,140,virudhaka|virudhaka|karmic_fiend
buddhist,7,WIN,6,2802,1210,190,sky_beast|earth_spirit|wrathful_spirit|cursed_monk
buddhist,8,WIN,7,2703,1330,207,vajrapani|deva_soldier|ashura_warrior
buddhist,9,WIN,7,2427,1370,244,mara_general|hell_guardian
daoist,0,WIN,2,3000,280,33,child_immortal
daoist,1,WIN,3,3000,600,60,dao_disciple|dao_disciple
daoist,2,WIN,2,3000,340,53,hermit_ghost
daoist,3,WIN,4,2955,700,115,mountain_spirit|thunder_messenger
daoist,4,WIN,4,2874,780,165,immortal_sprite|immortal_sprite|immortal_sprite
daoist,5,WIN,5,2941,900,116,cloud_beast|jade_puppet|river_spirit
daoist,6,WIN,6,2930,1230,130,elder_hermit|elder_hermit|celestial_soldier
daoist,7,WIN,6,2792,1260,173,fire_salamander|iron_guard|wind_sprite|earth_dragon
daoist,8,WIN,7,2572,1450,198,azure_guardian|celestial_lion|nine_tailed_spirit
daoist,9,WIN,7,2382,1400,236,dragon_king_child|immortal_warrior
japanese,0,WIN,2,3000,300,23,yuki_onna
japanese,1,WIN,3,3000,640,74,tengu|tengu
japanese,2,WIN,2,3000,350,60,shuten_minion
japanese,3,WIN,4,2981,670,90,kappa|foxfire
japanese,4,WIN,4,2853,780,171,koropokkuru|koropokkuru|koropokkuru
japanese,5,WIN,4,2939,850,97,yamabiko|ittan_momen|azuki_washer
japanese,6,WIN,6,2534,1270,242,oni|oni|samurai_ghost
japanese,7,WIN,6,2765,1260,176,river_kappa|snow_woman|cursed_scroll|tatami_monster
japanese,8,WIN,7,2398,1370,257,ronin_ghost|yamabushi_ghost|dragon_serpent
japanese,9,WIN,7,2049,1380,307,oni_king|hannya
