mythology,enc_idx,difficulty,monsters,member_count,total_hp
greek,1,1,fly_harpy,1,220
greek,2,2,myrmidon|myrmidon,2,500
greek,3,3,satyr,1,350
greek,4,4,snake|lamia,2,590
greek,5,5,harpy|harpy|harpy,3,840
greek,6,6,stymphalian_bird|giant_ant|dryad,3,870
greek,7,7,centaur|centaur|ares_soldier,3,1180
greek,8,8,griffin_cub|medusid|fire_crab|stone_shard,4,1240
greek,9,9,cyclops|chimera_cub|hydra_head,3,1650
greek,10,10,cerberus|tartaros_shade,2,1400
egyptian,1,1,ka_spirit,1,320
egyptian,2,2,scarab|scarab,2,520
egyptian,3,3,sphinx_cub,1,350
egyptian,4,4,desert_scorpion|sand_wraith,2,730
egyptian,5,5,sand_rat|sand_rat|sand_rat,3,840
egyptian,6,6,anubis_guard|sand_scout|nile_crocodile,3,1070
egyptian,7,7,clay_soldier|clay_soldier|sand_ifrit,3,1210
egyptian,8,8,tomb_wraith|khopesh_warrior|jackal_priest|desert_ghoul,4,1230
egyptian,9,9,mummy_warrior|sobek_spawn|ammit_cub,3,1450
egyptian,10,10,sphinx_adult|pyramid_golem,2,1400
norse,1,1,urdr_spider,1,300
norse,2,2,volva_witch|volva_witch,2,640
norse,3,3,garlarr_snake,1,340
norse,4,4,hrimfaxi_rider|ice_wolf,2,730
norse,5,5,raven_scout|raven_scout|raven_scout,3,840
norse,6,6,frost_giant_pup|bone_archer|dark_elf,3,885
norse,7,7,draugr|draugr|berserker,3,1290
norse,8,8,runestone_golem|night_hag|lindworm_spawn|einherjar_ghost,4,1250
norse,9,9,jotun_soldier|fenrir_pup|nidhogg_scale,3,1450
norse,10,10,frost_giant|ragnarok_herald,2,1350
buddhist,1,1,garuda,1,280
buddhist,2,2,yaksha|yaksha,2,640
buddhist,3,3,mara_soldier,1,350
buddhist,4,4,dharma_puppet|lotus_spirit,2,570
buddhist,5,5,hungry_ghost|hungry_ghost|hungry_ghost,3,840
buddhist,6,6,asura|naga_spawn|demon_soldier,3,970
buddhist,7,7,virudhaka|virudhaka|karmic_fiend,3,1270
buddhist,8,8,sky_beast|earth_spirit|wrathful_spirit|cursed_monk,4,1210
buddhist,9,9,vajrapani|deva_soldier|ashura_warrior,3,1330
buddhist,10,10,mara_general|hell_guardian,2,1370
daoist,1,1,child_immortal,1,280
daoist,2,2,dao_disciple|dao_disciple,2,600
daoist,3,3,hermit_ghost,1,340
daoist,4,4,mountain_spirit|thunder_messenger,2,700
daoist,5,5,immortal_sprite|immortal_sprite|immortal_sprite,3,780
daoist,6,6,cloud_beast|jade_puppet|river_spirit,3,900
daoist,7,7,elder_hermit|elder_hermit|celestial_soldier,3,1230
daoist,8,8,fire_salamander|iron_guard|wind_sprite|earth_dragon,4,1260
daoist,9,9,azure_guardian|celestial_lion|nine_tailed_spirit,3,1450
daoist,10,10,dragon_king_child|immortal_warrior,2,1400
japanese,1,1,yuki_onna,1,300
japanese,2,2,tengu|tengu,2,640
japanese,3,3,shuten_minion,1,350
japanese,4,4,kappa|foxfire,2,670
japanese,5,5,koropokkuru|koropokkuru|koropokkuru,3,780
japanese,6,6,yamabiko|ittan_momen|azuki_washer,3,850
japanese,7,7,oni|oni|samurai_ghost,3,1270
japanese,8,8,river_kappa|snow_woman|cursed_scroll|tatami_monster,4,1260
japanese,9,9,ronin_ghost|yamabushi_ghost|dragon_serpent,3,1370
japanese,10,10,oni_king|hannya,2,1380
