mythology,key,hp,pattern_len,damage_types,buff_str,buff_blk,debuff_weak,debuff_vul,debuff_poison,has_all,has_low_hp,has_special,has_prepare,max_atk,pattern_summary
greek,ares_soldier,380,3,slash,1,0,0,0,0,Y,Y,N,N,100,B:strength+1->A100/slash->A100/slash
greek,centaur,400,3,blunt,0,0,0,0,0,N,Y,N,N,110,A90/blunt->A80/blunt->A110/blunt
greek,cerberus,900,6,slash,0,0,0,0,0,Y,Y,N,N,90,A70/slash->A70/slash->A70/slash->A70/slash->A70/slash->A90/slash
greek,chimera_cub,400,3,fire,1,0,0,0,0,Y,Y,N,N,130,A110/fire->B:strength+1->A130/fire
greek,cyclops,850,2,blunt,0,0,0,0,0,N,N,N,N,240,HEAL0->A240/blunt
greek,dryad,270,3,curse,0,0,2,1,0,N,Y,N,N,50,D:vulnerable+1->A50/curse->D:weak+2
greek,fire_crab,280,3,fire,0,20,0,0,0,N,Y,N,N,70,A55/fire->B:block+20->A70/fire
greek,fly_harpy,220,2,slash,0,0,0,0,0,N,N,N,N,60,A50/slash->A60/slash
greek,giant_ant,310,3,blunt,0,0,0,0,0,Y,N,N,N,100,A55/blunt->HEAL0->A100/blunt
greek,griffin_cub,320,3,slash,0,0,0,0,0,N,N,N,Y,75,PREP->A75/slash->A75/slash
greek,harpy,280,4,slash,0,0,0,0,0,N,N,N,N,130,A45/slash->HEAL0->A130/slash->BLK1
greek,hydra_head,400,3,poison|slash,0,0,2,0,0,N,N,N,N,115,A115/poison->A115/slash->D:weak+2
greek,lamia,290,4,poison,0,0,0,2,0,N,N,N,N,100,D:vulnerable+1->A60/poison->D:vulnerable+1->A100/poison
greek,medusid,300,4,curse,0,0,2,1,0,N,N,N,N,65,D:weak+2->A65/curse->D:vulnerable+1->A65/curse
greek,myrmidon,250,4,slash,1,0,0,0,0,N,N,N,N,90,A60/slash->B:strength+1->A60/slash->A90/slash
greek,satyr,350,2,blunt,0,0,0,0,0,N,N,N,N,80,A80/blunt->A80/blunt
greek,snake,300,2,poison,0,0,0,2,0,N,N,N,N,60,A60/poison->D:vulnerable+2
greek,stone_shard,340,3,blunt,0,25,0,0,0,N,N,N,Y,85,B:block+25->PREP->A85/blunt
greek,stymphalian_bird,290,4,slash,1,0,1,0,0,N,N,N,N,50,B:strength+1->A50/slash->D:weak+1->A50/slash
greek,tartaros_shade,500,4,curse,2,0,0,0,0,N,N,N,N,130,HA40->A110/curse->B:strength+2->A130/curse
egyptian,ammit_cub,400,3,slash,1,0,0,0,0,Y,Y,N,N,100,B:strength+1->A100/slash->A100/slash
egyptian,anubis_guard,330,4,slash,0,25,0,0,0,N,N,N,Y,80,B:block+25->PREP->A80/slash->A80/slash
egyptian,clay_soldier,380,3,blunt,0,25,0,0,0,N,N,N,Y,85,B:block+25->PREP->A85/blunt
egyptian,desert_ghoul,290,3,slash,1,0,0,0,0,N,N,N,N,65,A65/slash->A65/slash->B:strength+1
egyptian,desert_scorpion,420,3,poison,0,0,0,0,4,N,N,N,N,90,A90/poison->D:poison+4->A90/poison
egyptian,jackal_priest,280,3,curse,0,0,1,0,0,N,N,Y,N,55,SP:weak->D:weak+1->A55/curse
egyptian,ka_spirit,320,4,curse,0,0,2,2,0,N,N,N,N,55,A55/curse->D:vulnerable+2->A55/curse->D:weak+2
egyptian,khopesh_warrior,340,3,slash,0,0,0,0,0,N,N,N,Y,70,PREP->A70/slash->A70/slash
egyptian,mummy_warrior,600,4,blunt,0,0,4,0,0,N,N,N,N,160,D:weak+2->A100/blunt->D:weak+2->A160/blunt
egyptian,nile_crocodile,360,3,blunt,0,0,0,1,0,N,Y,N,N,85,A85/blunt->A85/blunt->D:vulnerable+1
egyptian,pyramid_golem,680,4,blunt,0,50,0,0,0,Y,N,N,Y,150,B:block+50->PREP->A150/blunt->A100/blunt
egyptian,sand_ifrit,450,2,fire,2,0,0,0,0,Y,N,N,N,130,B:strength+2->A130/fire
egyptian,sand_rat,280,3,slash,0,0,0,0,0,N,N,N,N,100,A50/slash->HEAL0->A100/slash
egyptian,sand_scout,380,3,projectile,1,0,0,0,0,N,N,N,N,90,A90/projectile->B:strength+1->A90/projectile
egyptian,sand_wraith,310,4,curse,0,0,1,1,0,N,Y,N,N,70,D:weak+1->A70/curse->D:vulnerable+1->A70/curse
egyptian,scarab,260,2,slash,0,0,0,0,0,N,N,N,N,65,A50/slash->A65/slash
egyptian,sobek_spawn,450,3,blunt,0,0,0,2,0,N,Y,N,N,110,A110/blunt->A110/blunt->D:vulnerable+2
egyptian,sphinx_adult,720,5,slash,0,0,0,0,0,N,Y,N,N,180,A140/slash->A140/slash->A140/slash->BLK1->A180/slash
egyptian,sphinx_cub,350,4,slash,0,0,0,0,0,N,N,N,N,80,A80/slash->A80/slash->A80/slash->BLK1
egyptian,tomb_wraith,320,3,curse,0,0,2,0,0,N,N,N,N,75,D:weak+2->A75/curse->A75/curse
norse,berserker,450,3,slash,2,0,0,0,0,N,Y,N,N,130,B:strength+2->A110/slash->A130/slash
norse,bone_archer,280,4,slash,0,0,0,2,0,N,N,N,N,90,D:vulnerable+1->A55/slash->D:vulnerable+1->A90/slash
norse,dark_elf,295,3,curse,0,0,2,0,0,N,Y,N,N,65,D:weak+2->A65/curse->A65/curse
norse,draugr,420,3,slash,1,0,0,0,0,N,Y,N,N,90,A90/slash->A90/slash->B:strength+1
norse,einherjar_ghost,300,3,slash,0,0,0,0,0,N,N,Y,Y,65,SP:weak->PREP->A65/slash
norse,garmr,450,3,blunt,1,0,0,0,0,N,Y,N,N,130,A110/blunt->B:strength+1->A130/blunt
norse,frost_giant,680,4,blunt,0,60,0,0,0,Y,N,N,N,150,SAC1->B:block+60->A150/blunt->A110/blunt
norse,frost_wight,310,3,blunt,0,25,0,0,0,N,N,N,N,90,B:block+25->A70/blunt->A90/blunt
norse,garlarr_snake,340,3,poison,0,0,0,0,0,N,N,N,N,85,BLK1->A85/poison->A85/poison
norse,hrimfaxi_rider,380,3,blunt,0,0,0,0,0,N,N,N,N,140,A70/blunt->A70/blunt->A140/blunt
norse,ice_wolf,350,3,blunt,1,0,0,0,0,N,N,N,N,65,B:strength+1->A65/blunt->A65/blunt
norse,jotun_soldier,600,4,blunt,0,60,0,0,0,Y,N,N,Y,160,B:block+60->PREP->A160/blunt->A100/blunt
norse,lindworm_spawn,320,3,poison|slash,0,0,0,0,2,N,N,N,N,75,A75/poison->D:poison+2->A75/slash
norse,nidhogg_scale,400,4,poison,0,0,0,0,4,N,N,N,N,120,D:poison+2->A80/poison->D:poison+2->A120/poison
norse,night_hag,280,3,curse,0,0,2,2,0,N,N,N,N,80,D:vulnerable+2->D:weak+2->A80/curse
norse,ragnarok_herald,670,4,slash,0,0,0,0,0,Y,N,N,N,130,BA:weak+0->A130/slash->A130/slash->A80/slash
norse,raven_scout,280,3,slash,0,0,0,0,0,N,N,N,N,110,A50/slash->HEAL0->A110/slash
norse,runestone_golem,350,3,blunt,0,30,0,0,0,N,N,N,Y,90,B:block+30->PREP->A90/blunt
norse,urdr_spider,300,5,poison,0,0,0,0,6,N,N,N,N,60,A60/poison->D:poison+3->A60/poison->A60/poison->D:poison+3
norse,volva_witch,320,3,curse,0,0,2,2,0,N,N,N,N,110,D:weak+2->D:vulnerable+2->A110/curse
buddhist,ashura_warrior,450,3,blunt,0,0,0,0,0,N,N,N,N,120,CPR->A95/blunt->A120/blunt
buddhist,asura,380,3,blunt,1,0,0,2,0,N,Y,N,N,90,B:strength+1->D:vulnerable+2->A90/blunt
buddhist,cursed_monk,280,3,curse,0,0,0,0,0,N,N,N,N,65,BLK1->A65/curse->A65/curse
buddhist,rakshasa,280,3,blunt,1,0,0,0,0,N,Y,N,N,70,B:strength+1->A70/blunt->A70/blunt
buddhist,deva_soldier,380,3,holy_strike,0,0,0,0,0,N,N,N,Y,90,PREP->A90/holy_strike->A90/holy_strike
buddhist,dharma_puppet,260,3,curse,0,0,0,1,0,N,N,N,N,55,D:vulnerable+1->A55/curse->A55/curse
buddhist,earth_spirit,290,3,blunt,0,0,0,0,0,N,N,N,Y,70,PREP->A70/blunt->A70/blunt
buddhist,garuda,280,2,fire,1,0,0,0,0,Y,N,N,N,60,B:strength+1->A60/fire
buddhist,hell_guardian,690,4,holy_strike|holy_fire,0,60,0,0,0,Y,N,N,N,130,B:block+60->HA50->A130/holy_strike->A100/holy_fire
buddhist,hungry_ghost,280,3,curse,0,0,0,1,0,N,Y,N,N,60,A60/curse->A60/curse->D:vulnerable+1
buddhist,karmic_fiend,370,3,curse,0,0,2,2,0,N,N,N,N,90,D:weak+2->D:vulnerable+2->A90/curse
buddhist,lotus_spirit,310,3,holy_strike,0,0,2,0,0,N,N,Y,N,70,SP:weak->D:weak+2->A70/holy_strike
buddhist,mara_general,680,4,curse,0,0,0,0,0,Y,N,N,N,140,SAC1->A140/curse->A140/curse->A90/curse
buddhist,pishacha,350,4,curse,0,0,0,1,0,N,N,N,N,80,D:vulnerable+1->A80/curse->D:speed_penalty+3->A60/curse
buddhist,naga_spawn,310,3,poison|slash,0,0,0,0,2,N,N,N,N,70,A70/poison->D:poison+2->A70/slash
buddhist,sky_beast,330,3,holy_strike,0,0,0,0,0,N,N,N,Y,70,PREP->A70/holy_strike->A70/holy_strike
buddhist,vajrapani,500,3,blunt,2,0,0,0,0,N,Y,N,N,130,B:strength+2->A100/blunt->A130/blunt
buddhist,virudhaka,450,4,holy_strike,0,30,0,0,0,N,N,N,Y,120,B:block+30->PREP->A100/holy_strike->A120/holy_strike
buddhist,wrathful_spirit,310,3,curse,0,0,1,0,0,N,Y,N,N,90,A75/curse->D:weak+1->A90/curse
buddhist,yaksha,320,3,slash,0,0,2,0,0,N,N,N,N,90,A70/slash->D:weak+2->A90/slash
daoist,azure_guardian,520,4,slash,1,0,0,0,0,N,N,N,Y,120,B:strength+1->PREP->A100/slash->A120/slash
daoist,celestial_lion,480,3,holy_slash|holy_arrow,1,0,0,0,0,N,Y,N,N,110,B:strength+1->A110/holy_slash->A110/holy_arrow
daoist,celestial_soldier,450,4,slash,0,80,0,0,0,N,Y,N,N,110,B:block+50->A110/slash->A90/slash->B:block+30
daoist,child_immortal,280,3,slash,1,0,0,0,0,N,N,N,N,50,A50/slash->A50/slash->B:strength+1
daoist,cloud_beast,310,3,blunt,1,0,0,0,0,N,Y,N,N,75,B:strength+1->A75/blunt->A75/blunt
daoist,dao_disciple,300,4,holy_slash,4,0,0,0,0,N,N,N,N,120,B:strength+1->B:strength+1->B:strength+2->A120/holy_slash
daoist,dragon_king_child,720,4,holy_arrow|holy_fire,0,60,0,0,0,Y,N,N,N,160,B:block+60->BA:weak+0->A160/holy_arrow->A120/holy_fire
daoist,earth_dragon,310,3,blunt|slash,1,0,0,0,0,N,N,N,N,75,B:strength+1->A75/blunt->A75/slash
daoist,elder_hermit,390,4,holy_slash,1,0,0,0,0,N,N,Y,N,80,SP:weak->A80/holy_slash->A80/holy_slash->B:strength+1
daoist,fire_salamander,330,3,fire,1,0,0,0,0,N,Y,N,N,80,A80/fire->A80/fire->B:strength+1
daoist,hermit_ghost,340,3,slash,1,0,0,0,0,N,N,N,N,90,A70/slash->B:strength+1->A90/slash
daoist,immortal_sprite,260,2,holy_slash,0,0,0,0,0,N,Y,N,N,55,A55/holy_slash->A55/holy_slash
daoist,immortal_warrior,680,3,slash,0,0,0,0,0,N,N,N,N,160,CPR->A160/slash->A160/slash
daoist,iron_guard,350,3,blunt,0,30,0,0,0,N,N,N,Y,90,B:block+30->PREP->A90/blunt
daoist,jade_puppet,290,3,blunt,0,0,2,0,0,N,N,N,N,65,D:weak+2->A65/blunt->A65/blunt
