영웅,이름,코스트,타입,희귀도,최대강화,효과_0강,효과_1강,효과_2강
napoleon,신속 기동,1,ATTACK,COMMON,0,피해 100 + 사기 +1,,
napoleon,전열 재편,0,SKILL,COMMON,0,드로우 1,,
napoleon,경기병 돌격,1,ATTACK,UNCOMMON,1,피해 120 + 사기 +1,피해 132 + 사기 +2,
napoleon,그랑다르메의 방패,1,SKILL,UNCOMMON,1,방어 110,방어 121,
napoleon,살보 사격,1,ATTACK,UNCOMMON,1,피해 100 + 에너지 +1,피해 110 + 에너지 +2,
napoleon,원수 서임,1,SKILL,UNCOMMON,1,드로우 2 + 사기 +1,드로우 3 + 사기 +2,
napoleon,아르콜레 돌파,1,ATTACK,RARE,1,피해 100 + 방어 80,피해 112 + 방어 89,
napoleon,포병 일제사격,1,ATTACK,RARE,1,피해 80 (전체),피해 89 (전체),
napoleon,예나의 기습,1,ATTACK,RARE,1,피해 100 + 독 30 데미지,피해 112 + 독 40 데미지,
napoleon,보로디노 포격,2,ATTACK,RARE,1,200/140(has_morale),224/156(has_morale),
napoleon,총공세 명령,1,SKILL,RARE,1,사기 +2 + 드로우 1,사기 +3 + 드로우 2,
napoleon,황제의 명령,2,ATTACK,LEGENDARY,2,피해 80 (전체) + 사기 +2,피해 91 (전체) + 사기 +3,피해 102 (전체) + 사기 +4
napoleon,황제의 기개,0,ATTACK,DIVINE,2,사기→피해 300 + 약화 1,사기→피해 348 + 약화 2,사기→피해 396 + 약화 3
napoleon,전진 명령,1,ATTACK,COMMON,0,피해 100 + 사기 +1,,
napoleon,참호 구축,1,SKILL,COMMON,0,방어 80,,
napoleon,척후 정찰,0,SKILL,COMMON,0,드로우 1 + 에너지 +1,,
napoleon,북소리,0,SKILL,COMMON,0,사기 +1,,
napoleon,진격 나팔,1,SKILL,COMMON,0,드로우 1 + 사기 +1,,
napoleon,기병 위협,1,ATTACK,COMMON,0,피해 100,,
napoleon,근위대 돌격,1,ATTACK,UNCOMMON,1,병사 소환 + 피해 80,병사 소환 + 피해 88,
napoleon,전선 돌파,1,ATTACK,UNCOMMON,1,피해 110 + 다음 비용 -1,피해 121 + 다음 비용 -2,
napoleon,지휘관의 눈,1,SKILL,UNCOMMON,1,드로우 2 + 에너지 +1,드로우 3 + 에너지 +2,
napoleon,보급선 확보,0,SKILL,UNCOMMON,1,드로우 1 + 사기 +1,드로우 2 + 사기 +2,
napoleon,포병 집결,1,SKILL,UNCOMMON,1,병사 소환 + 방어 60,병사 소환 + 방어 66,
napoleon,기동 사격,1,ATTACK,UNCOMMON,1,피해 100 + 사기 +1 + 에너지 +1,피해 110 + 사기 +2 + 에너지 +2,
napoleon,교두보 점령,2,SKILL,UNCOMMON,1,전체 방어 60,전체 방어 66,
napoleon,황실 포병대,1,ATTACK,UNCOMMON,1,피해 80 + 사기 +1,피해 88 + 사기 +2,
napoleon,제국 보병 소집,2,SKILL,RARE,1,병사 소환,병사 소환,
napoleon,아우스터리츠 기동,1,ATTACK,RARE,1,피해 100 + 방어 60 + 사기 +1,피해 112 + 방어 67 + 사기 +2,
napoleon,워털루 이전의 결의,1,SKILL,RARE,1,드로우 2 + 사기 +2,드로우 3 + 사기 +3,
napoleon,독수리 군기,2,SKILL,RARE,1,병사 소환 + 전체 방어 70,병사 소환 + 전체 방어 78,
napoleon,승리의 포고,1,ATTACK,RARE,1,150/100(has_morale_2),168/112(has_morale_2),
napoleon,대육군 포위전,2,ATTACK,RARE,1,피해 80 (전체),피해 89 (전체),
napoleon,황제의 포위령,1,SKILL,RARE,1,다음 비용 -2 + 드로우 1,다음 비용 -3 + 드로우 2,
napoleon,일기당천,1,ATTACK,RARE,1,사기→피해 150 + 에너지 +1,사기→피해 168 + 에너지 +2,
napoleon,전략적 후퇴,1,SKILL,LEGENDARY,2,드로우 3 + 사기 +2 + 전체 방어 60,드로우 4 + 사기 +3 + 전체 방어 68,드로우 5 + 사기 +4 + 전체 방어 76
napoleon,황제의 돌격,2,ATTACK,LEGENDARY,2,사기→피해 250 + 방어 100,사기→피해 285 + 방어 114,사기→피해 320 + 방어 128
napoleon,제국의 영광,0,POWER,DIVINE,2,병사 소환,병사 소환,병사 소환
cleopatra,독의 씨앗,1,ATTACK,COMMON,0,피해 80 + 독 20 데미지,,
cleopatra,이시스의 가호,0,SKILL,COMMON,0,드로우 1 + 에너지 +1,,
cleopatra,아스프의 독니,1,ATTACK,UNCOMMON,1,독 80 데미지,독 90 데미지,
cleopatra,사막의 독무,1,ATTACK,UNCOMMON,1,피해 60 (전체) + 독 30 데미지,피해 66 (전체) + 독 40 데미지,
cleopatra,저주의 시선,1,SKILL,UNCOMMON,1,약화 2 + 취약 2,약화 3 + 취약 3,
cleopatra,유혹,1,SKILL,UNCOMMON,1,매혹 1,매혹 2,
cleopatra,나일의 안개,2,ATTACK,RARE,1,독 50 데미지,독 60 데미지,
cleopatra,독사의 마수,1,ATTACK,RARE,1,160/80(has_poison),179/89(has_poison),
cleopatra,파라오의 독,2,ATTACK,RARE,1,피해 120 + 독 50 데미지 + 취약 1,피해 134 + 독 60 데미지 + 취약 2,
cleopatra,람세스의 방패,1,SKILL,RARE,1,방어 130,방어 145,
cleopatra,나일의 분노,1,ATTACK,LEGENDARY,2,독 즉발,독 즉발,독 즉발
cleopatra,파라오의 명,1,SKILL,LEGENDARY,2,방어 110 + 드로우 2,방어 125 + 드로우 3,방어 140 + 드로우 4
cleopatra,클레오파트라의 입맞춤,2,SKILL,DIVINE,2,매혹 2 + 독 30 데미지,매혹 3 + 독 40 데미지,매혹 4 + 독 50 데미지
cleopatra,독안개 살포,1,ATTACK,COMMON,0,피해 60 + 독 20 데미지,,
cleopatra,밀납의 덫,0,SKILL,COMMON,0,다음 비용 -1,,
cleopatra,모래 폭풍,1,SKILL,COMMON,0,약화 1,,
cleopatra,나일의 축복,0,SKILL,COMMON,0,드로우 2,,
cleopatra,뱀의 눈빛,1,SKILL,COMMON,0,취약 2,,
cleopatra,이중 독니,2,ATTACK,COMMON,0,피해 80 + 독 80 데미지,,
cleopatra,유혹의 눈길,1,SKILL,UNCOMMON,1,매혹 1 + 다음 비용 -1,매혹 2 + 다음 비용 -2,
