Act,분류,이름,HP,페이즈,턴,액션,값,타겟,상태,조건
1,normal,사티로스,350,0,1,ATK,80,RANDOM,weak,
1,normal,사티로스,350,0,2,ATK,80,RANDOM,weak,
1,normal,하르피아,280,0,1,ATK,45,RANDOM,weak,
1,normal,하르피아,280,0,2,ATK,45,RANDOM,weak,
1,normal,하르피아,280,0,3,ATK,45,RANDOM,weak,
1,normal,하르피아,280,0,4,ATK,45,RANDOM,weak,
1,normal,하르피아,280,0,5,SPECIAL,0,,weak,
1,normal,사이클롭스,700,0,1,BUFF,0,,weak,준비
1,normal,사이클롭스,700,0,2,ATK,200,RANDOM,weak,
1,normal,메두사의 뱀,300,0,1,ATK,60,RANDOM,weak,
1,normal,메두사의 뱀,300,0,2,DEBUFF,2,RANDOM,vulnerable,
1,normal,케르베로스,900,0,1,ATK,70,RANDOM,weak,
1,normal,케르베로스,900,0,2,ATK,70,RANDOM,weak,
1,normal,케르베로스,900,0,3,ATK,70,RANDOM,weak,
1,normal,케르베로스,900,0,4,ATK,70,RANDOM,weak,
1,normal,케르베로스,900,0,5,ATK,70,RANDOM,weak,
1,normal,케르베로스,900,0,6,ATK,90,ALL,weak,
1,normal,미르미돈 병사,250,0,1,ATK,60,RANDOM,weak,
1,normal,미르미돈 병사,250,0,2,BUFF,1,,strength,
1,normal,미르미돈 병사,250,0,3,ATK,60,RANDOM,weak,
1,normal,미르미돈 병사,250,0,4,ATK,90,RANDOM,weak,
1,elite,미노타우로스,2000,0,1,ATK,150,RANDOM,weak,
1,elite,미노타우로스,2000,0,2,ATK,150,RANDOM,weak,
1,elite,미노타우로스,2000,0,3,ATK,260,ALL,weak,
1,elite,메두사,1700,0,1,ATK,130,RANDOM,weak,
1,elite,메두사,1700,0,2,DEBUFF,2,ALL,weak,
1,elite,메두사,1700,0,3,DEBUFF,2,ALL,vulnerable,
1,elite,메두사,1700,0,4,ATK,180,RANDOM,weak,
1,elite,고르곤,1800,0,1,ATK,140,RANDOM,weak,
1,elite,고르곤,1800,0,2,DEBUFF,1,RANDOM,vulnerable,
1,elite,고르곤,1800,0,3,BUFF,1,,strength,
1,elite,고르곤,1800,0,4,DEBUFF,1,RANDOM,vulnerable,
1,elite,고르곤,1800,0,5,ATK,140,RANDOM,weak,
1,elite,고르곤,1800,0,6,DEBUFF,1,ALL,vulnerable,
1,elite,고르곤,1800,1,1,ATK,160,RANDOM,weak,
1,elite,고르곤,1800,1,2,DEBUFF,2,RANDOM,vulnerable,
1,elite,고르곤,1800,1,3,ATK,160,ALL,weak,
1,elite,스킬라,1900,0,1,ATK,100,RANDOM,weak,
1,elite,스킬라,1900,0,2,ATK,100,RANDOM,weak,
1,elite,스킬라,1900,0,3,DEBUFF,3,RANDOM,poison,
1,elite,스킬라,1900,0,4,ATK,80,RANDOM,weak,
1,elite,스킬라,1900,0,5,ATK,100,RANDOM,weak,
1,elite,스킬라,1900,0,6,ATK,100,RANDOM,weak,
1,elite,스킬라,1900,0,7,ATK,120,ALL,weak,
1,elite,스킬라,1900,1,1,ATK,160,RANDOM,weak,
1,elite,스킬라,1900,1,2,DEBUFF,5,ALL,poison,
1,elite,스킬라,1900,1,3,ATK,160,RANDOM,weak,
1,boss,히드라,4500,0,1,ATK,180,RANDOM,weak,
1,boss,히드라,4500,0,2,ATK,180,RANDOM,weak,
1,boss,히드라,4500,0,3,ATK,140,ALL,weak,
1,boss,히드라,4500,1,1,ATK,200,RANDOM,weak,
1,boss,히드라,4500,1,2,ATK,200,RANDOM,weak,
1,boss,히드라,4500,1,3,ATK,160,ALL,weak,
1,boss,히드라,4500,1,4,ATK,220,LOWEST_HP,weak,
1,boss,히드라,4500,2,1,ATK,240,RANDOM,weak,
1,boss,히드라,4500,2,2,ATK,240,RANDOM,weak,
1,boss,히드라,4500,2,3,ATK,200,ALL,weak,
1,boss,히드라,4500,2,4,ATK,260,LOWEST_HP,weak,
1,boss,히드라,4500,2,5,DEBUFF,2,ALL,vulnerable,
