Act,이벤트명,설명,선택지번호,선택지이름,효과타입,값,골드비용,HP비용
1,황금 상자,낡은 황금 상자가 놓여 있다.,1,열기,골드,30,0,0
1,황금 상자,낡은 황금 상자가 놓여 있다.,2,무시,없음,0,0,0
1,상처 입은 전사,부상당한 병사가 치료를 요청한다.,1,치료 (골드 -20),HP회복,15,20,0
1,상처 입은 전사,부상당한 병사가 치료를 요청한다.,2,무시,없음,0,0,0
1,고대 도서관,신비로운 지식이 담긴 도서관. 공부하면 지식을 얻지만 기력을 소모한다.,1,공부 (HP -5),드로우+1(영구),1,0,5
1,고대 도서관,신비로운 지식이 담긴 도서관. 공부하면 지식을 얻지만 기력을 소모한다.,2,무시,없음,0,0,0
1,저주받은 제단,제단에 무언가를 바치면 강력한 유물을 얻을 수 있다.,1,카드 바치기 (덱에서 1장 제거),카드제거,1,0,0
1,저주받은 제단,제단에 무언가를 바치면 강력한 유물을 얻을 수 있다.,2,무시,없음,0,0,0
1,동료 만남,역사 속 영웅이 합류를 요청한다.,1,합류시키기,영웅추가,0,0,0
1,동료 만남,역사 속 영웅이 합류를 요청한다.,2,거절,없음,0,0,0
1,프로메테우스의 불,제우스에게 불을 훔친 티탄이 불씨를 건넨다. 받겠는가?,1,"불씨를 받는다 (드로우 +1, HP -20)",드로우+1(영구),1,0,20
1,프로메테우스의 불,제우스에게 불을 훔친 티탄이 불씨를 건넨다. 받겠는가?,2,거절한다,없음,0,0,0
1,헤라클레스의 시련,헤라클레스가 힘겨루기를 제안한다. 이기면 황금을 준다.,1,"맞선다 (골드 +60, HP -25)",골드,60,0,25
1,헤라클레스의 시련,헤라클레스가 힘겨루기를 제안한다. 이기면 황금을 준다.,2,포기한다,없음,0,0,0
1,키르케의 마법,마법사 키르케가 황금을 받고 체력을 회복시켜 주겠다고 한다.,1,"마법을 받는다 (HP +25, 골드 -50)",HP회복,25,50,0
1,키르케의 마법,마법사 키르케가 황금을 받고 체력을 회복시켜 주겠다고 한다.,2,거절한다,없음,0,0,0
1,하데스의 계약,저승의 신 하데스가 강력한 유물을 제시한다. 대신 생명력을 요구한다.,1,"계약한다 (렐릭 획득, HP -30)",렐릭추가,0,0,30
1,하데스의 계약,저승의 신 하데스가 강력한 유물을 제시한다. 대신 생명력을 요구한다.,2,거절한다,없음,0,0,0
1,헤르메스의 도박,교활한 헤르메스가 황금과 덱 경량화 중 하나를 선택하라 한다.,1,황금을 받는다 (골드 +50),골드,50,0,0
1,헤르메스의 도박,교활한 헤르메스가 황금과 덱 경량화 중 하나를 선택하라 한다.,2,덱을 가볍게 한다 (카드 1장 제거),카드제거,1,0,0
1,악마의 거래,"어둠 속 제단에서 목소리가 들린다.
'내 힘을 원하느냐? 대가는 네가 치르게 될 것이다.'
50% 확률로 강력한 렐릭 또는 저주 렐릭을 얻는다.",1,받아들인다,랜덤렐릭,0,0,0
1,악마의 거래,"어둠 속 제단에서 목소리가 들린다.
'내 힘을 원하느냐? 대가는 네가 치르게 될 것이다.'
50% 확률로 강력한 렐릭 또는 저주 렐릭을 얻는다.",2,거절한다,없음,0,0,0
