이름,설명,트리거,효과,값,bonus_value,전용_영웅,저주,penalty_트리거,penalty_효과,penalty_값
버닝 블러드,전투 승리 시 팀 전체 HP +6,BATTLE_WIN,HEAL,6,0,,,,,
불사조 깃털,플레이어 턴 시작 시 에너지 +1,TURN_START,ENERGY,1,0,,,,,
독약 병,전투 시작 시 무작위 적에게 독 3,BATTLE_START,STATUS_ENEMY,3,0,,,,,
전쟁 북,플레이어 턴 시작 시 카드 1장 추가 드로우,TURN_START,DRAW,1,0,,,,,
고대 유물,팀 전체 최대 HP +15,PASSIVE,MAX_HP,15,0,,,,,
모래시계,턴 종료 시 덱에서 카드 1장 드로우,TURN_END,DRAW,1,0,,,,,
피의 돌,피해 5 이상 받을 시 에너지 +1,ON_DAMAGED,ENERGY,1,0,,,,,
황제의 인장,전투 시작 시 사기 +2 (나폴레옹 생존 시 적용),BATTLE_START,MORALE,0,2,napoleon,,,,
독사의 팔찌,전투 시작 시 무작위 적 독 2 (클레오파트라 생존 시 독 4),BATTLE_START,STATUS_ENEMY,2,4,cleopatra,,,,
거북선 모형,플레이어 턴 시작 시 방어도 +2 (이순신 생존 시 +4),TURN_START,BLOCK,2,4,yi_sun_sin,,,,
포병 나팔,플레이어 턴 시작 시 사기 +1 (나폴레옹 생존 시 적용),TURN_START,MORALE,0,1,napoleon,,,,
난중일기,전투 승리 시 팀 HP +8 (이순신 생존 시 적용),BATTLE_WIN,HEAL,0,8,yi_sun_sin,,,,
파라오의 인장,플레이어 턴 시작 시 무작위 적 독 +1 (클레오파트라 생존 시 적용),TURN_START,STATUS_ENEMY,0,1,cleopatra,,,,
악마의 계약,"전투 승리 시 팀 HP +20. 단, 매 플레이어 턴 시작 시 무작위 영웅 HP -3",BATTLE_WIN,HEAL,20,0,,true,TURN_START,DMG_HERO,3
저주받은 왕관,"최대 HP +25. 단, 매 전투 시작 시 무작위 영웅 HP -8",PASSIVE,MAX_HP,25,0,,true,BATTLE_START,DMG_HERO,8
피의 서약,"플레이어 턴 시작 시 에너지 +1. 단, 턴 종료 시 무작위 영웅 HP -4",TURN_START,ENERGY,1,0,,true,TURN_END,DMG_HERO,4
전술가의 지도,전투 시작 시 카드 1장 추가 드로우,BATTLE_START,DRAW,1,0,,,,,
강철 의지,전투 시작 시 에너지 +1,BATTLE_START,ENERGY,1,0,,,,,
고대의 방패,전투 시작 시 팀 전체 방어도 +4,BATTLE_START,BLOCK,4,0,,,,,
