keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
status.weak.name,약화,Weak,Faible,Debole,Débil,弱体化,Αδύναμος,虚弱,虚弱,Слабость,Fraco,Słabość,Schwach
status.vulnerable.name,취약,Vulnerable,Vulnérable,Vulnerabile,Vulnerable,脆弱,Ευάλωτος,易伤,易伤,Уязвимость,Vulnerável,Wrażliwy,Verwundbar
status.poison.name,독,Poison,Poison,Veleno,Veneno,毒,Δηλητήριο,毒,毒,Яд,Veneno,Trucizna,Gift
status.strength.name,강화,Strength,Force,Forza,Fuerza,強化,Δύναμη,强化,强化,Сила,Força,Siła,Stärke
status.charm.name,매혹,Charm,Charme,Fascino,Encanto,魅了,Γοητεία,魅惑,魅惑,Очарование,Encanto,Urok,Bezauberung
status.enthrall.name,매혹됨,Enthralled,Ensorcelé,Ammaliato,Embrujado,魅了済み,Γοητευμένος,被魅惑,被魅惑,Очарованный,Enfeitiçado,Oczarowany,Verzaubert
status.taunt.name,도발,Taunt,Provocation,Provocazione,Provocación,挑発,Πρόκληση,嘲讽,嘲讽,Провокация,Provocação,Prowokacja,Spott
status.morale.name,사기,Morale,Moral,Morale,Moral,士気,Ηθικό,士气,士气,Мораль,Moral,Morale,Moral
status.poison_dmg.desc,독: 매 턴 %d×10 피해. 지속 3턴 중첩 시 갱신,Poison: %d×10 damage every turn. Lasts 3 turns; refreshes on stack.,Poison : %d×10 dégâts chaque tour. Dure 3 tours ; se rafraîchit à l'empilement.,Veleno: %d×10 danni ogni turno. Dura 3 turni; si aggiorna accumulandosi.,Veneno: %d×10 de daño cada turno. Dura 3 turnos; se actualiza al acumularse.,毒：毎ターン %d×10 ダメージ。3ターン継続、重複時に更新。,Δηλητήριο: %d×10 ζημιά κάθε γύρο. Διαρκεί 3 γύρους. ανανεώνεται στη στοίβα.,毒：每回合造成 %d×10 点伤害。持续3回合，堆叠时刷新。,毒：每回合造成 %d×10 点伤害。持续3回合，堆叠时刷新。,Яд: %d×10 урона каждый ход. 3 хода. Обновляется при стаке.,Veneno: %d×10 de dano por turno. Dura 3 turnos. Renova ao acumular.,Trucizna: %d×10 obr. co turę. 3 tury. Odświeża przy stosie.,Gift: %d×10 Schaden pro Runde. 3 Runden. Erneuert bei Stapeln.
status.weak.desc,약화: 공격 피해 25% 감소. 매 턴 1 감소,Weak: Attack damage reduced by 25%. Decreases by 1 every turn.,Faible : Dégâts d'attaque réduits de 25%. Diminue de 1 chaque tour.,Debole: Danni d'attacco ridotti del 25%. Diminuisce di 1 ogni turno.,Débil: Daño de ataque reducido en un 25%. Disminuye en 1 cada turno.,弱体化：攻撃ダメージが25%%減少。毎ターン1減少。,Αδύναμος: Η ζημιά επίθεσης μειώνεται κατά 25%. Μειώνεται κατά 1 κάθε γύρο.,虚弱：攻击伤害降低25%。每回合减少1层。,虚弱：攻击伤害降低25%。每回合减少1层。,Слабость: Урон атаки -25%. -1 каждый ход.,Fraco: Dano de ataque -25%. -1 por turno.,Słabość: Obrażenia ataku -25%. -1 co turę.,Schwach: Angriffsschaden -25%. -1 pro Runde.
status.vulnerable.desc,취약: 받는 피해 50% 증가. 매 턴 1 감소,Vulnerable: Incoming damage increased by 50%. Decreases by 1 every turn.,Vulnérable : Dégâts reçus augmentés de 50%. Diminue de 1 chaque tour.,Vulnerabile: Danni subiti aumentati del 50%. Diminuisce di 1 ogni turno.,Vulnerable: Daño recibido aumentado en un 50%. Disminuye en 1 cada turno.,脆弱：受けるダメージが50%%増加。毎ターン1減少。,Ευάλωτος: Η δεχόμενη ζημιά αυξάνεται κατά 50%. Μειώνεται κατά 1 κάθε γύρο.,易伤：受到的伤害增加50%。每回合减少1层。,易伤：受到的伤害增加50%。每回合减少1层。,Уязвимость: Получаемый урон +50%. -1 каждый ход.,Vulnerável: Dano recebido +50%. -1 por turno.,Wrażliwy: Otrzymywane obr. +50%. -1 co turę.,Verwundbar: Erhaltener Schaden +50%. -1 pro Runde.
status.morale.desc,사기: CONSUME_MORALE 카드로 추가 피해 제공,Morale: Provides bonus damage with CONSUME_MORALE cards.,Moral : Fournit des dégâts bonus avec les cartes CONSUME_MORALE.,Morale: Fornisce danni bonus con le carte CONSUME_MORALE.,Moral: Proporciona daño adicional con cartas de CONSUME_MORALE.,士気：CONSUME_MORALEカードで追加ダメージを提供。,Ηθικό: Παρέχει επιπλέον ζημιά με κάρτες CONSUME_MORALE.,"士气：通过""消耗士气""卡牌提供额外伤害。","士气：通过""消耗士气""卡牌提供额外伤害。",Мораль: Доп. урон с картами CONSUME_MORALE.,Moral: Dano bônus com cartas CONSUME_MORALE.,Morale: Dodatkowe obr. z kartami CONSUME_MORALE.,Moral: Bonus-Schaden mit CONSUME_MORALE-Karten.
status.charm.desc,매혹: 다음 행동 아군에게 적용,Charm: Next action applied to allies.,Charme : Prochaine action appliquée aux alliés.,Fascino: Prossima azione applicata agli alleati.,Encanto: Próxima acción aplicada a los aliados.,魅了：次の行動を味方に適用。,Γοητεία: Η επόμενη ενέργεια εφαρμόζεται στους συμμάχους.,魅惑：下一次行动将作用于友方。,魅惑：下一次行动将作用于友方。,Очарование: Следующее действие на союзников.,Encanto: Próxima ação aplicada a aliados.,Urok: Następna akcja na sojuszników.,Bezauberung: Nächste Aktion auf Verbündete.
status.enthrall.desc,매혹됨 %d턴: 이 적이 동료를 공격함,Enthralled %d: This enemy attacks its own allies.,Ensorcelé %d : Cet ennemi attaque ses propres alliés.,Ammaliato %d: Questo nemico attacca i propri alleati.,Embrujado %d: Este enemigo ataca a sus propios aliados.,魅了済み %d：この敵が味方を攻撃する。,Γοητευμένος %d: Αυτός ο εχθρός επιτίθεται στους συμμάχους του.,被魅惑 %d：该敌人攻击自己的同伴。,被魅惑 %d：该敌人攻击自己的同伴。,Очарованный %d: этот враг атакует своих.,Enfeitiçado %d: este inimigo ataca aliados.,Oczarowany %d: ten wróg atakuje swoich.,Verzaubert %d: dieser Feind greift Verbündete an.
status.strength.desc,강화: 피해 +%d,Strength: Damage +%d,Force : Dégâts +%d,Forza: Danno +%d,Fuerza: Daño +%d,強化：ダメージ +%d,Δύναμη: Ζημιά +%d,强化：伤害 +%d,强化：伤害 +%d,Сила: Урон +%d,Força: Dano +%d,Siła: Obr. +%d,Stärke: Schaden +%d
status.taunt.desc,도발: 이 대상이 우선 공격 받음,Taunt: This target is prioritized for attacks.,Provocation : Cette cible est prioritaire pour les attaques.,Provocazione: Questo bersaglio ha la priorità per gli attacchi.,Provocación: Este objetivo es priorizado para los ataques.,挑発：この対象が優先的に攻撃を受ける。,Πρόκληση: Αυτός ο στόχος έχει προτεραιότητα στις επιθέσεις.,嘲讽：此目标会被优先攻击。,嘲讽：此目标会被优先攻击。,Провокация: цель атакуется в первую очередь.,Provocação: alvo prioritário para ataques.,Prowokacja: ten cel atakowany w pierwszej kolejności.,Spott: dieses Ziel wird vorrangig angegriffen.
