keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
tutorial.menu.entry,"튜토리얼","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial"
tutorial.select.title,"튜토리얼","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial","Tutorial"
tutorial.select.back,"뒤로","Back","Back","Back","Back","Back","Back","Back","Back","Back","Back","Back","Back"
tutorial.lesson.basics.name,"기초 전투","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics","Combat Basics"
tutorial.card.strike.name,"일격","Strike","Strike","Strike","Strike","Strike","Strike","Strike","Strike","Strike","Strike","Strike","Strike"
tutorial.card.guard.name,"방어","Guard","Guard","Guard","Guard","Guard","Guard","Guard","Guard","Guard","Guard","Guard","Guard"
tutorial.card.resolve.name,"결의","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve","Resolve"
tutorial.enemy.dummy.name,"허수아비","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy","Training Dummy"
tutorial.basics.s1_intro,"공격 카드를 적에게 끌어다 사용하세요.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy.","Drag the attack card onto the enemy."
tutorial.basics.s2_block,"방어 카드를 사용하세요. 방어도는 소모되기 전까지 누적·유지됩니다.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed.","Play the guard card. Block accumulates and persists until consumed."
tutorial.basics.s3_endturn,"턴 종료 버튼을 누르세요.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn.","Press End Turn."
tutorial.basics.s4_crit,"공격하세요. 치명타는 기본 5% 확률, 발동 시 피해 ×2(200%)입니다.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage.","Attack. Crits have a 5% base chance and deal ×2 (200%) damage."
tutorial.basics.s5_win,"적을 처치해 레슨을 완료하세요.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson.","Defeat the enemy to finish the lesson."
